customer_id,first_name,last_name,email,signup_date,customer_segment,city
CUST-000001,Mateo,Gomez,mateo.gomez.1@example.com,2024-07-17,STANDARD,Córdoba
CUST-000002,Mateo,Torres,mateo.torres.2@example.com,2023-06-28,STANDARD,Buenos Aires
CUST-000003,Lucia,Fernandez,lucia.fernandez.3@example.com,2024-03-23,STANDARD,La Plata
CUST-000004,Lucia,Torres,lucia.torres.4@example.com,2024-02-12,PREMIUM,La Plata
CUST-000005,Valentina,Lopez,valentina.lopez.5@example.com,2025-07-08,STANDARD,Buenos Aires
CUST-000006,Sofia,Sanchez,sofia.sanchez.6@example.com,2024-11-27,STANDARD,Córdoba
CUST-000007,Nicolas,Fernandez,nicolas.fernandez.7@example.com,2023-07-09,STANDARD,Rosario
CUST-000008,Nicolas,Acosta,nicolas.acosta.8@example.com,2024-06-25,PREMIUM,Mendoza
CUST-000009,Agustin,Fernandez,agustin.fernandez.9@example.com,2025-02-14,STANDARD,Rosario
CUST-000010,Paula,Diaz,paula.diaz.10@example.com,2026-03-28,STANDARD,Buenos Aires
CUST-000011,Lucia,Lopez,lucia.lopez.11@example.com,2024-08-15,BUSINESS,Córdoba
CUST-000012,Mateo,Sanchez,mateo.sanchez.12@example.com,2024-07-23,STANDARD,Rosario
CUST-000013,Sofia,Diaz,sofia.diaz.13@example.com,2024-12-28,STANDARD,Rosario
CUST-000014,Mateo,Acosta,mateo.acosta.14@example.com,2026-07-24,STANDARD,Córdoba
CUST-000015,Sofia,Romero,sofia.romero.15@example.com,2025-02-16,STANDARD,La Plata
CUST-000016,Juan,Diaz,juan.diaz.16@example.com,2023-04-25,STANDARD,Buenos Aires
CUST-000017,Nicolas,Sanchez,nicolas.sanchez.17@example.com,2024-07-02,STANDARD,La Plata
CUST-000018,Nicolas,Lopez,nicolas.lopez.18@example.com,2025-10-19,STANDARD,Mendoza
CUST-000019,Sofia,Martinez,sofia.martinez.19@example.com,2023-10-13,STANDARD,La Plata
CUST-000020,Agustin,Martinez,agustin.martinez.20@example.com,2026-04-12,STANDARD,La Plata
CUST-000021,Valentina,Diaz,valentina.diaz.21@example.com,2024-03-25,BUSINESS,Córdoba
CUST-000022,Agustin,Romero,agustin.romero.22@example.com,2023-07-06,PREMIUM,Buenos Aires
CUST-000023,Sofia,Rodriguez,sofia.rodriguez.23@example.com,2025-05-14,STANDARD,Mendoza
CUST-000024,Valentina,Acosta,valentina.acosta.24@example.com,2025-08-16,STANDARD,La Plata
CUST-000025,Lucia,Fernandez,lucia.fernandez.25@example.com,2026-01-04,PREMIUM,Rosario
CUST-000026,Mateo,Martinez,mateo.martinez.26@example.com,2025-06-09,STANDARD,Buenos Aires
CUST-000027,Camila,Torres,camila.torres.27@example.com,2024-01-01,STANDARD,Buenos Aires
CUST-000028,Camila,Torres,camila.torres.28@example.com,2026-06-01,STANDARD,Rosario
CUST-000029,Sofia,Torres,sofia.torres.29@example.com,2025-12-22,PREMIUM,La Plata
CUST-000030,Nicolas,Romero,nicolas.romero.30@example.com,2023-02-09,STANDARD,Rosario
CUST-000031,Camila,Lopez,camila.lopez.31@example.com,2023-04-29,STANDARD,La Plata
CUST-000032,Mateo,Fernandez,mateo.fernandez.32@example.com,2025-09-22,PREMIUM,La Plata
CUST-000033,Sofia,Rodriguez,sofia.rodriguez.33@example.com,2025-08-31,PREMIUM,Córdoba
CUST-000034,Camila,Torres,camila.torres.34@example.com,2026-05-27,STANDARD,Córdoba
CUST-000035,Agustin,Lopez,agustin.lopez.35@example.com,2024-09-30,STANDARD,Rosario
CUST-000036,Martin,Torres,martin.torres.36@example.com,2025-07-13,STANDARD,Córdoba
CUST-000037,Mateo,Diaz,mateo.diaz.37@example.com,2023-02-13,STANDARD,Córdoba
CUST-000038,Paula,Lopez,paula.lopez.38@example.com,2023-01-15,STANDARD,Buenos Aires
CUST-000039,Juan,Fernandez,juan.fernandez.39@example.com,2023-03-06,PREMIUM,Buenos Aires
CUST-000040,Agustin,Lopez,agustin.lopez.40@example.com,2024-07-24,STANDARD,Córdoba
CUST-000041,Agustin,Rodriguez,agustin.rodriguez.41@example.com,2026-03-15,STANDARD,Córdoba
CUST-000042,Martin,Sanchez,martin.sanchez.42@example.com,2024-01-25,STANDARD,Mendoza
CUST-000043,Nicolas,Sanchez,nicolas.sanchez.43@example.com,2025-04-21,STANDARD,Buenos Aires
CUST-000044,Mateo,Gomez,mateo.gomez.44@example.com,2025-04-04,PREMIUM,Buenos Aires
CUST-000045,Juan,Lopez,juan.lopez.45@example.com,2024-01-25,STANDARD,Córdoba
CUST-000046,Valentina,Rodriguez,valentina.rodriguez.46@example.com,2024-07-24,STANDARD,Buenos Aires
CUST-000047,Martin,Torres,martin.torres.47@example.com,2023-07-20,STANDARD,La Plata
CUST-000048,Lucia,Fernandez,lucia.fernandez.48@example.com,2024-04-29,STANDARD,Mendoza
CUST-000049,Martin,Lopez,martin.lopez.49@example.com,2025-04-01,PREMIUM,Córdoba
CUST-000050,Valentina,Gomez,valentina.gomez.50@example.com,2025-03-10,STANDARD,Mendoza
CUST-000051,Camila,Sanchez,camila.sanchez.51@example.com,2026-02-12,STANDARD,Mendoza
CUST-000052,Sofia,Lopez,sofia.lopez.52@example.com,2024-08-30,STANDARD,Buenos Aires
CUST-000053,Paula,Torres,paula.torres.53@example.com,2023-05-05,PREMIUM,Buenos Aires
CUST-000054,Lucia,Acosta,lucia.acosta.54@example.com,2025-09-03,STANDARD,La Plata
CUST-000055,Sofia,Gomez,sofia.gomez.55@example.com,2025-11-06,STANDARD,Córdoba
CUST-000056,Mateo,Acosta,mateo.acosta.56@example.com,2023-05-20,STANDARD,Córdoba
